Tweet,ID
"""Ambulance  sites1- HEPA filters and/or  bacterial Viral filters (recommended by CDC and American Heart Association) are not part of the ventilation devices including the bag valve masks and automatic ventilators to help reduce spread of COVID 19. 2- Employees have only been provided KN95 masks that often fall apart and are not tight fitting.  Employees have not been medically fit tested for these masks to ensure a good seal to help minimize exposure to COVID 19.3- Employer is not providing N95 or higher protective respirators to employees to help prevent exposure to COVID19 when treating assumed and confirmed COVID sick patients               4- Employees are not trained on how to properly remove and dispose of PPE without contaminating themselves.5- The Employer is not recording cases of employees who become ill from COVID-19 on their OSHA 300 logs.6- The Employer does not provide adequate cleaning supplies for the ambulances and base stations.  7- Not all Employees are offered Hep B vaccine.8 ? Not all Employees who may work with TB patients are screened for TB and are fit tested annually for their respirators used with suspected or confirmed case of TB."" - Brewster Ambulance Service in Weymouth, MA",C-1599662
"""Employees are not provided personal protective equipment such as gloves, face coverings and eye protection in accordance with CDC guidelines during the COVID-19 outbreak."" - Red Roof Inn in Salem, NH",C-1602547
"""1.  Staff members are told to use gloves and masks multiple times leading to contamination.2.  Staff members are not informed regarding which residents are COVID-19 positive.3.  Staff members are forced to work even after having a positive COVID-19 diagnosis."" - McLean Affiliates in Simsbury, CT",C-1584277
"""THERE ARE 14 PEOPLE THAT WORK OUT OF OUR area.  THE OFFICE IS TOO SMALL. WE CANNOT enforce social  Distancing. THERE IS STAFF THAT HAVE BEEN EXPOSED TO PEOPLE WITH COVID 19 and CAME IN TO OUR OFFICE. THERE IS ALSO NO PPE provided by employer. THE COMPANY REFUSES TO FOLLOW THE GUIDELINES."" - Beacon Hospice Care in East Hartford, CT",C-1590142
"""Employees presenting COVID-19 symptoms are allowed to continue to come into work possibly exposing others. Employees are not provided with any masks to prevent the spread of the virus."" - PRATT & WHITNEY AIRCRAFT in East Hartford, CT",C-1590423
"""1. Social distancing practices (Six foot minimum) and additional work practices controls have not been implemented in the office areas where employees work 8 hour shifts in close proximity to each other.   2. Employees have not been effectively trained on COVID-19 hazards for which that they may be exposed due to lack of social distancing, proper work practices and appropriate disinfection practices as recommended by CDC and other local health authorities. "" - Berkshire Hills Country Club in Pittsfield, MA",C-1602048
"""Satellite Locations:1. Employees are not trained on the proper use of personal protective equipment to protect against COVID-19."" - Riverside Community Care, Inc in Dedham, MA",C-1577861
"""1. Employer is not cleaning and sanitizing the workplace to protect other employees before setup for next patients.2. Contaminated disposable PPEs are being re-used."" - Chelmsford Dental Associates in Chelmsford, MA",C-1602564
"""HAZARD DESCRIPTION:Employer scheduling employees (operators) to disinfect buses without the proper Personal Protective Equipment (PPE) and materials to safely perform the job/task.Employer hasn't provided any training in the proper disinfecting of buses and how to properly discard materials after use.HAZARD LOCATION:The Maintenance Department/Garage"" - Milford Transit District in Milford, CT",C-1580375
"""For approximately 180 employees with potential exposure to health hazards:1. Where the employer has not implemented policies and practices designed to mitigate the transmission of COVID-19 between workers. 2. Where appropriate ventilation systems designed to protect workers from respiratory hazards during chemical manufacturing processes have not been installed."" - Grant Industries in Elmwood Park, NJ",C-1598616
"""ITEM 1: There are no social distancing markers anywhere inside or outside the store.ITEM 2: There are no glass dividers or protectors near the registers. ITEM 3: There is no sinage anywhere inside or outside the store indicating proper hygiene, social distancing rules, or cleaning and disenfecting protocals. ITEM 4: Employer assured there would be temperature checks, but this has not been done one time, nor have they provided the equipment to do so.ITEM 5: There are no logs for cleaning or contact tracing."" - BLUMS SWIMWEAR & INTIMATE in Williamsville, NY",C-1600960
"""1.  The gowns provided for employees are too small.  2.  There are not enough gowns for employees to wear.3.  Employees have been provided with fake N95 respirators.4.  There are not enough appropriate respirators for employee use.5.  Disinfectants are not left on surfaces long enough to kill germs.6.  Social distancing is not maintained."" - McKinley Crossing Dental in Tendal, NY",C-1603952
"""Employees are potentially exposed to health hazards from COVID-19:1. Where the employer has not implemented policies and practices, such as social distancing, that are designed to mitigate the risk of illness transmission among workers. [OSH Act Section 5(a)(1)]2. Where the employer has not implemented policies and practices for frequent cleaning and disinfecting of the work area and high touch surfaces. [OSH Act Section 5(a)(1)]"" - Hendricks House Group in Vineland, NJ",C-1594479
"""1. Employee are exposed to health hazards associated with COVID-19. It was reported that face coverings and other personal protective equipment (PPE) are not being provided in accordance with CDC guidelines. Contrary to 29 CFR 1910.132 and Section 5(a)1 of the OSH Act.2. Employee are exposed to health hazards associated with COVID-19. It was reported the employee restrooms are not cleaned or sanitized in accordance with CDC guidelines. Contrary to 29 CFR 1910.141 and Section 5(a)1 of the OSH Act."" - National Delivery Systems in Bellmawr, NJ",C-1596511
"""For employees working in the social work/ Case Management offices with potential exposure to health hazards from COVID-19:1. Where the employer has not implemented or enforced workplace policies, such as social distancing, designed to reduce the transmission of illness between employees.[OSH Act Section 5(a)(1)]2. Where the employer has not implemented policies and practices, such as telework, that are designed to protect immunocompromised and other high risk workers from occupationally acquired illness. [OSH Act Section 5(a)(1)]3. Where the employer has not enforced policies requiring workers to wear masks or face coverings. [1910.134]"" - Hackensack University Medical Center in Hackensack, NJ",C-1596246
"""1) It is alleged that employees are exposed to the COVID-19 virus in that they are required to work in close proximity of each other and are not provided with adequate Personal Protection Equipment to include N-95 masks and gowns."" - Park Avenue Extended Care in Long Beach, NY",C-1576328
"""Complainant alleges the following:Employer was not providing proper PPE in March, which exposed the employees to COVID-19."" - Amsterdam Nursing Home in New York, NY",C-1591096
"""1.  Employees work with COVID-19 positive patients and are not provided with PPE. They are given 1 surgical mask to wear for the week.2.  Employer states employees do not need N-95 respirator, gowns, or face shields."" - Meeting House Lane Medical in Sag Harbor, NY",C-1600656
"""Door knobs, hand rails and other surfaces are no being sanitized properly with Quat 5."" - REMINGTON ARMS CO., INC. in Ilion, NY",C-1571064
"""El patrono no le esta proveyendo mascarillas ni guantes a los empleados.  No les estan dando mascarillas.  Los hand sanitizer solo estan en las entradas pero en los puestos no hay."" - Oneill Security Hospital Universitario, in Rio Piedras, PR",C-1597078
"""Location:  Christiana Care Neurology 1. There have been employee exposures to COVID-19 in this office building and the employer is not cleaning and disinfecting the office correctly prior to employees returning to work at this location.2. The HVAC system at this location does not protect employees from the risk of contracting COVID-19 because the outside air intake is not designed to prevent potential contamination of the air distribution system with COVID-19."" - Christiana Care (Neurology) in Newark, DE",C-1601159
"""1. Employees are not allowed to readily change PPE as needed to prevent the spread of Covid-19 among employees and residents.  The equipment includes N95 respirators, facial masks, gowns and gloves.  Employees are told to conserve the equipment past the point where it should be changed out due to contamination."" - Mountain City Nursing and in Hazleton, PA",C-1602862
